PLAY "Jogar"
ARMOR_ENCHANTMENT_NAME "encantamento de armadura"
ARMOR_UPGRADE_TYPE "armadura"
A_SEX_ACT_BETWEEN "um ato sexual entre {1} e {2}"
ATTACK_ACTION "Atacar"
ATTACK_CREATURES_TASK "Atacar alguém"
ATTACKER_AFFECTED_BY "atacante afetado por: {1}"
AUDIENCE_EFFECT_DESCRIPTION "Invoca todos os lutadores defendendo o território"
AUDIENCE_EFFECT_NAME "plateia"
AUDIENCE_SUMMONED "Vossa plateia foi convocada, Sire."
    "Vossa plateia foi convocada, Dama." : feminine
AUDIENCE_SUMMONED2 "A plateia foi convocada."
AUTOMATON_PART_EFFECT_DESCRIPTION "Anexa uma peça de autômato à criatura."
AUTOMATON_PART_EFFECT_NAME "anexar peça de autômato"
AUTOMATONS "autômatos"
AVAILABLE_ITEMS_TITLE "Itens disponíveis:"
AVAILABLE_STEEDS "Montarias disponíveis ({1}):"
BACK_BODY_PART "voltar" "costas" : plural
BALSAMS_UPGRADE_HINT "Você pode aprimorar seus lacaios durante a criação usando bálsamos feitos no laboratório."
BANISH_EFFECT_DESCRIPTION "A criatura deixará sua aldeia para sempre."
BANISH_EFFECT_NAME "banir"
BASHES_FURNITURE "{1} golpeia o {2}"
BECOMES "{1} se torna {2}."
BED "cama"
    "camas" : plural
BLEEDING_EFFECT_DESCRIPTION "Causa sangramento."
BLEEDING_EFFECT_NAME "sangrando"
BLOODY_WATER "água sangrenta"
BODIES_UPGRADE_TYPE "corpos"
BODY_PART_GROWS_BACK_HELPER "cresce"
    "crescem" : plural
BODY_PART_IS_IN_BETTER_SHAPE_HELPER "está"
    "estão" : plural
YOUR_BODY_PART_GROWS_BACK "Seu {1} {BODY_PART_GROWS_BACK_HELPER:1} de volta!"
YOUR_BODY_PART_IS_IN_BETTER_SHAPE "Seu {1} {BODY_PART_IS_IN_BETTER_SHAPE_HELPER:1} em melhor estado."
HIS_BODY_PART_GROWS_BACK "O {2} de {1} {BODY_PART_GROWS_BACK_HELPER:2} de volta!"
HIS_BODY_PART_IS_IN_BETTER_SHAPE "O {2} de {1} {BODY_PART_IS_IN_BETTER_SHAPE_HELPER:2} em melhor estado."
BODY_PART_NUMBER "{1} {2}"
BOILS_AND_EXPLODES "{1} ferve e explode!"
BOULDER "rocha"
BREACH_TRIGGER "Violação de território"
BREAK_FREE "Você se liberta."
ALL_BUFF_ADJECTIVES_HELPER "{1}"
BUFF_ADJECTIVE_AGGRAVATES "irrita inimigos"
BUFF_ADJECTIVE_ARCHER_VISION "consegue ver através de seteiras"
BUFF_ADJECTIVE_CAN_DANCE "consegue dançar a noite toda."
BUFF_ADJECTIVE_CAPTURE_RESISTANCE "resistente à captura"
BUFF_ADJECTIVE_DARKNESS_SOURCE "fonte de escuridão"
BUFF_ADJECTIVE_DRUNK "bêbado"
BUFF_ADJECTIVE_ELF_VISION "consegue ver através de árvores"
BUFF_ADJECTIVE_ENTERTAINER "artista"
BUFF_ADJECTIVE_FAST_CRAFTING "artesão rápido"
BUFF_ADJECTIVE_FAST_TRAINING "aprendiz rápido"
BUFF_ADJECTIVE_FLYING "voador"
BUFF_ADJECTIVE_HALLU "alucinando"
BUFF_ADJECTIVE_INVISIBLE "invisível"
BUFF_ADJECTIVE_LIFE_SAVED "vida será salva"
BUFF_ADJECTIVE_LIGHT_SOURCE "fonte de luz"
BUFF_ADJECTIVE_LOCKED_POSITION "posição travada"
BUFF_ADJECTIVE_NIGHT_VISION "consegue enxergar no escuro"
BUFF_ADJECTIVE_NO_CARRY_LIMIT "capacidade de carga infinita"
BUFF_ADJECTIVE_NO_FRIENDLY_FIRE "sem fogo amigo"
BUFF_ADJECTIVE_PLAGUE_RESISTANT "resistente à peste"
BUFF_ADJECTIVE_POISON_RESISTANT "resistente a veneno"
BUFF_ADJECTIVE_POLYMORPHED "transformado"
BUFF_ADJECTIVE_PREGNANT "grávida"
BUFF_ADJECTIVE_PSYCHIATRY "psiquiatra"
BUFF_ADJECTIVE_RAGE "enfurecido"
BUFF_ADJECTIVE_RESTED "descansado"
BUFF_ADJECTIVE_RIDER "cavaleiro"
BUFF_ADJECTIVE_SATIATED "saciado"
BUFF_ADJECTIVE_PLAGUE "infectado com peste"
BUFF_ADJECTIVE_POISON "envenenado"
BUFF_ADJECTIVE_SLEEP "dormindo"
BUFF_ADJECTIVE_SLEEP_RESISTANT "resistente ao sono"
BUFF_ADJECTIVE_SPEED "bônus de velocidade"
BUFF_ADJECTIVE_SPYING "espião"
BUFF_ADJECTIVE_STEED "montaria"
BUFF_ADJECTIVE_SWARMER "enxameador"
BUFF_ADJECTIVE_TELEPATHY "telepata"
BUFF_ADJECTIVE_WARNING "ciente do perigo"
BUFF_ADJECTIVE_PANIC "apavorado"
BUFF_ADJECTIVE_PEACEFULNESS "pacífico"
BUFF_ADJECTIVE_ENTANGLED "enredado"
BUFF_ADJECTIVE_TIED_UP "amarrado"
BUFF_ADJECTIVE_IMMOBILE "imóvel"
BUFF_ADJECTIVE_SLOWED "desacelerado"
BUFF_ADJECTIVE_INSANITY "insano"
BUFF_ADJECTIVE_BLIND "cego"
BUFF_ADJECTIVE_STUNNED "inconsciente"
BUFF_ADJECTIVE_COLLAPSED "rastejando"
BUFF_ADJECTIVE_SUNLIGHT_VULNERABLE "vulnerável à luz do sol"
BUFF_ADJECTIVE_SUMMONED "invocado"
BUFF_ADJECTIVE_SLOW_CRAFTING "artesão lento"
BUFF_ADJECTIVE_SLOW_TRAINING "aprendiz lento"
BUFF_ADJECTIVE_BAD_BREATH "bafo fedido"
BUFF_ADJECTIVE_ON_FIRE "em chamas"
BUFF_ADJECTIVE_FROZEN "congelado"
BUFF_ADJECTIVE_MAGIC_CANCELLATION "cancelado"
BUFF_ADJECTIVE_DISAPPEAR_DURING_DAY "desaparece ao amanhecer"
BUFF_ADJECTIVE_UNSTABLE "instável mentalmente"
BUFF_ADJECTIVE_OIL "coberto de óleo"
BUFF_ADJECTIVE_TURNED_OFF "desligado"
BUILD_FURNITURE_TASK "Construir {1} em {2}"
BUILD_MORGUE_HINT "Construa uma mesa de necrotério para criar mortos-vivos."
BURNED_DEATH_REASON "queimado até a morte"
BURNS_IN "{1} queima no(a) {2}"
BUTCHER_TITLE "o açougueiro de {1}"
CAGE "jaula"
    "jaulas" : plural
CAMPAIGN_DIFFICULTY "Dificuldade"
CAMPAIGN_HELP_BUTTON "Ajuda"
CAMPAIGN_VILLAIN_DEFEATED "Derrotado"
CAMPAIGN_VILLAIN_EXP "Experiência: {1}"
CAMPAIGN_WORLD_NAME "Nome do mundo: {1}"
CAMP_AND_SPAWN_TASK "Acampamento e spawn"
CANCEL_CAPTURE_ORDER_ACTION "Cancelar ordem de captura"
CAN_ENTER_POSITION "pode entrar na posição"
CAN_NOT_AFFORD_ITEM "Não tem recursos para o item."
CANNOT_AFFORD_ITEM "Não tem recursos para o item"
CAN_SEE_IN_THE_DARK "{1} enxerga no escuro."
CAN_SEE_THRU_ARROWSLITS "{1} pode ver e atirar através de seteiras."
CAN_SEE_THRU_TREES "{1} enxerga através de árvores."
CANT_MOVE_ANYMORE "{1} não pode mais se mover."
CASTS_SPELL "{1} lança uma magia"
CHANCE_EFFECT_DESCRIPTION "{1} ({2}% de chance)"
CHANCE_OF_PRISONER_ESCAPE "Chance de fuga do prisioneiro: "
GRANT_ABILITY_EFFECT_DESCRIPTION "Concede habilidade"
GRANT_ABILITY_EFFECT_NAME "conceder habilidade"
CHANGE_NAME_EFFECT_DESCRIPTION "Muda o nome da criatura para \"{1}\""
CHANGE_NAME_EFFECT_NAME "mudar nome"
CHANGE_SPRITE_EFFECT_DESCRIPTION "Altera o sprite da criatura"
CHANGE_SPRITE_EFFECT_NAME "definir sprite"
CHAT_ACTION "Bate-papo"
CIVILIAN_STATUS "Civil"
CLAIM_TILE_EFFECT_DESCRIPTION "Reivindica o terreno como território do jogador"
CLAIM_TILE_EFFECT_NAME "reivindicar terreno"
CLICK_TO "Clique para {1}"
CLOSE_BUTTON "Fechar"
COFFIN "caixão"
    "caixões" : plural
COLLAPSES "{1} cai."
COLOR_VARIANT_EFFECT_DESCRIPTION "Altera a variante de cor de uma criatura"
COLOR_VARIANT_EFFECT_NAME "mudança de cor"
COMMA "{1}, {2}"
COMMANDS_BUTTON "Comandos"
CONFIRM_BANISH "Você deseja banir {1} para sempre? Banir tem um impacto negativo na moral dos outros lacaios."
CONFIRM_BUTTON "Confirmar"
CONFIRM_DISASSEMBLE "Você deseja desmontar {1}?"
CONFIRM_NO_RETIRED_DUNGEONS "Os diabretes ficarão tristes se você não adicionar masmorras aposentadas. Continuar?"
CONSUMABLES_LABEL "Consumíveis"
CONSUME_ITEM_TASK "Consumir item"
YOU_ABSORB "Você absorve {1}."
ABSORBS "{1} absorve {2}."
CONTINUE_BUTTON "Continuar"
CONTROL_MINION_BUTTON "Controle"
COPULATE_TASK "Copular com {1}"
YOU_COPULATE "Você copula com {1}."
COPULATES "{1} copula com {2}."
COPY_SETTING_TO_GROUP "Copiar configuração para todos os {1}"
CORPSE_ITEM "cadáver de {1}"
CRAFTED_FROM "Fabricado a partir de {1}"
CRAFTED_ITEMS_LABEL "Itens fabricados"
CRAFTING_UPDATE_FOR "Melhoria de fabricação para {1}:"
IS_CRAWLING "{1} está rastejando."
YOU_CRAWLING "Você está rastejando."
CREATE_FURNITURE_DESCRIPTION "Cria um(a) {1}"
CREATE_ITEMS_DESCRIPTION "Cria itens"
CREATE_ITEMS_NAME "criar itens"
CREATURE_REQUIRES_QUARTERS "A criatura precisa de aposentos pessoais para assimilar experiência de combate."
CREATURE_REQUIRES_QUARTERS_WITH_LUXURY "A criatura precisa de aposentos pessoais com {1} unidades de luxo."
CREATURES_AFFECTED_BY "afetado por {1}"
CREATURES_EXP_LEVEL_BELOW "com nível de experiência abaixo de {1}"
CREATURES_HOLDING_INGREDIENT "segurando {1}"
CREATURES_MADE_OF_MATERIAL "feito de {1}"
CREATURES_WITH_HEALTH_BETWEEN "com saúde entre {1} e {2}"
CREATURE_TITLE "{1} o(a) {2}"
CURRENTLY_NOT_RIDING_STEED "Atualmente não está montado."
CURRENTLY_RIDING_STEED "Atualmente montado."
CUTS_FURNITURE "{1} corta o(a) {2}."
DANCE_TASK "Dança"
DEATH "Morte"
DEBT_BUTTON "Dívida"
DEMAND_GOLD "{1} exige {2} de ouro para não atacar. Concordar?"
DEPICTS "Retrata {1}"
DESCRIPTION_EFFECT_NAME "efeito de descrição"
DESTROY_EQUIPMENT_EFFECT_DESCRIPTION "Destrói uma peça aleatória de equipamento."
DESTROY_EQUIPMENT_EFFECT_NAME "destruição de equipamento"
DESTROYS_FURNITURE "{1} destrói o(a) {2}"
DESTROY_WALLS_EFFECT_DESCRIPTION "Destrói terreno e objetos."
DESTROY_WALLS_EFFECT_NAME "destruição"
DEVELOPS_ATTACK "{1} desenvolve um ataque de {2}."
DIES_OF "{1} morre de {2}."
DIES_OF_POISONING "{1} morre envenenado."
DIGGING_TASK_HIGHLIGHT "Tarefa de escavação"
DIGS_INTO_FURNITURE "{1} cava em direção a {2}."
DISAPPEARS "{1} desaparece!"
DISAPPEAR_TASK "Desaparecer"
DISARMS "{1} desarma um {2}."
YOU_DISARM "Você desarma o {1}."
DISASSEMBLE_MINION_BUTTON "Desmontar"
DISASSEMBLES "{1} desmonta {2}"
DISASSEMBLE_TASK "Desmontar {1}"
DISMISS_AND_DONT_ASK_AGAIN "Dispensar e não perguntar novamente"
DISMISS_FOR_200_TURNS "Dispensar por 200 turnos"
DISMOUNT_BUTTON "Desmontar"
DOES_NOT_TRIGGER_ENEMIES "Não atrai inimigos ao atacar"
DONT_CHASE_TEAM_ORDER_DESCRIPTION "Os membros da equipe não se moverão em direção aos inimigos e só lutarão contra aqueles que estiverem adjacentes."
DONT_CHASE_TEAM_ORDER "      Não perseguir      "
DOUBLE_TROUBLE_EFFECT_DESCRIPTION "Cria um aliado gêmeo idêntico."
DOUBLE_TROUBLE_EFFECT_NAME "problema duplo"
DROP_ITEMS_ANYWHERE_TASK "Largar itens em qualquer lugar"
DROP_ITEMS_TASK "Largar itens"
DROWNED_DEATH_REASON "afogado"
DROWNS_IN "{1} se afoga no(a) {2}."
DUEL_TASK "Tarefa de duelo: {1}"
DUNGEON_CONQUER_RATE "Taxa de conquista: {1}/{2}"
DUNGEON_CONQUER_RATE_TIP "Número de vezes que esta masmorra foi conquistada em relação ao número de vezes que foi carregada."
DUNGEON_MODS_TIP "Esses mods podem ser necessários para carregar esta masmorra:"
DURING_CERTAIN_TIME_OF_DAY "durante um certo período do dia"
DURING_THE_DAY "durante o dia"
EAT_TASK "Comer"
EFFECT_WHEN_EQUIPED "Efeito ao equipar: {1}"
EIGHT "oito"
ELEVEN "onze"
ENEMIES "inimigos"
ENTER_A_NAME_FOR "Digite um nome para {1}"
ENTER_FIRST_NAME "Digite o primeiro nome:"
ENTER_MESSAGE "Digite a mensagem"
ENTER_PORTAL "Você entra no(a) {1}."
ENTER_SETTLEMENT_NAME "Digite o nome do assentamento:"
EQUIP_ITEM_TASK "Equipar {1}"
EQUIPMENT_STORAGE_HIGHLIGHT "Armazenamento de equipamentos"
ERROR_DOWNLOADING_FILE "Erro ao baixar arquivo"
ERROR "Erro"
ERROR_SENDING_BUG_REPORT "Ocorreu um erro ao enviar o relatório de bug: {1}"
ERROR_UPLOADING_FILE "Erro ao enviar arquivo"
ERROR_UPLOADING_MOD "Erro ao enviar mod:"
ESCAPE_EFFECT_DESCRIPTION "Teleporta para um local seguro próximo."
ESCAPE_EFFECT_NAME "fugir"
EXCEEDS_POP_LIMIT "Excede o limite de população"
EXECUTES "{1} executa {2}"
EXIT_CONTROL_MODE "Sair do modo de controle"
EXTRA_BODY_PART "{1} extra"
EXTRA_BODY_PARTS "{1} extra de {2}"
EXTRA_TRAINING_POTENTIAL "Potencial de treinamento extra de {1}"
FAILED_TO_LOAD_SAVE "Falha ao carregar o arquivo de salvamento :("
FAILED_TO_LOAD_TUTORIAL "Falha ao carregar o tutorial :("
FALLS_APART "{1} se desfaz."
FASTER "movendo-se mais rápido"
FEELS_LIKE_DOING_SOME_WORK "{1} está com vontade de trabalhar."
FEELS_LAZY "{1} está preguiçoso."
FEELS_LIKE_WORKING_OUT "{1} está com vontade de malhar."
FETCHING_ITEMS_HIGHLIGHT "Buscando itens"
FIGHTER_STATUS_DESCRIPTION "Deve ser morto para conquistar a tribo"
FIGHTER_STATUS "Guerreiro"
FILLS_FURNITURE "{1} enche o {2}."
FINISHING_YOU_TRIGGER "Dando o golpe final em você"
FIRE_SCROLL_DESCRIPTION "Pega fogo."
FIVE "cinco"
FLANKED_HINT "Flancado: defesa reduzida em {1}%."
RESOURCE_DOUBLE_CLICK_HINT "Clique duas vezes para selecionar todo o depósito de recursos."
FORBIDDEN_ZONE_HIGHLIGHT "Zona proibida"
FOUR "quatro"
FREEZES_AND_EXPLODES "{1} congela e explode!"
FULLY_HEALED "totalmente curado"
FURNITURE_BANG "BUM!"
FURNITURE_BURNS_DOWN "O {1} queima até o fim."
FURNITURE_CATCHES_FIRE "O {1} pega fogo."
FURNITURE_CRASH "CRASH!"
FURNITURE_DISSOLVES "O {1} é dissolvido."
FURNITURE_FALLS "O {1} cai."
FURNITURE_FREEZES "O {1} congela."
FURNITURE "mobília"
FURNITURE_IS_DESTROYED "O {1} é destruído."
FURNITURE_IS_DUG_OUT "O {1} é escavado."
FURNITURE_IS_FILLED "O {1} é preenchido."
FURNITURE_MELTS "O {1} derrete."
FURNITURE_STOPS_BURNING "O {1} para de queimar."
GAME_OVER "Fim de jogo"
GAME_STATS_QUESTION "O jogo gostaria de coletar estatísticas enquanto você joga e enviá-las anonimamente ao desenvolvedor. Você concorda?"
GAS_RELEASED "Uma nuvem de {1} é liberada."
GAS_RELEASED_UNSEEN "Você ouve um som sibilante."
GHOST "Fantasma"
GIVE_GOLD_TO "Dar {2} de ouro para {1}?"
GIVE_HOW_MANY "Dar quantos {1}?"
BUY_HOW_MANY "Comprar quantos {1}?"
GIVE_ITEM_TO "Dar {1} para {2}?"
GIVE_WHOM "Dar para quem?"
GLYPH_LABEL "[{1}]"
GO_BACK_BUTTON "Voltar"
GRANTS_ABILITY "Concede habilidade: {1}"
GRANTS_BUFF "concede {1}"
GROUP_JOINS_YOUR_FORCES "Um {1} de {2} {3} se junta às suas forças."
GROWS_LIMB "{1} cresce {2}."
GROWS_LIMBS "{1} cresce {2}."
GUARD_ZONE1_HIGHLIGHT "Vigiar área 1"
GUARD_ZONE2_HIGHLIGHT "Vigiar área 2"
GUARD_ZONE3_HIGHLIGHT "Vigiar área 3"
HAS_BEEN_CAPTURED_BY_ENEMY "{1} foi capturado pelo inimigo."
HAS_GONE_BERSERK "enlouqueceu!"
HAS_REVIVED "{1} reviveu {2}."
YOU_HAVE_REVIVED "Você reviveu {1}."
HAS_SUMMONED_DEMON "{1} invocou um demônio aliado!"
HAVE_GONE_BERSERK "Você enlouqueceu!"
HEALING_EFFECT_DESCRIPTION "Restaura totalmente a saúde."
HEALING_EFFECT_NAME "cura"
HIDDEN "oculto"
HIS_BODY_CRUMBLES_TO_DUST "O corpo de {1} se desfaz em poeira."
HIS_BODY_PART_IS_BITTEN_OFF "O {2} de {1} é arrancado a mordidas!"
HIS_BODY_PART_IS_BROKEN "O {2} de {1} é quebrado!"
HIS_BODY_PART_IS_CHOPPED_OFF "O {2} de {1} é decepado!"
HIS_BODY_PART_IS_CRUSHED "O {2} de {1} é esmagado!"
HIS_BODY_PART_IS "O {2} de {1} {3}!"
HIS_BODY_PART_IS_RIPPED_TO_PIECES "{1} tem seu {2} despedaçado!"
HIS_IDENTITY_IS_UNCOVERED "{1} é descoberto!"
HIS_LIFE_WILL_NO_LONGER_BE_SAVED "{1} não terá mais sua vida salva."
HIS_SKULL_IS_SHATTERED "O crânio de {1} é estilhaçado!"
HIS_STOMACH_RECEIVES_A_DEADLY_BLOW "O estômago de {1} recebe um golpe mortal!"
HOME_MAP_BIOME "Bioma do mapa inicial: {1}"
HOSTILE_MAGICAL_FIELD_HIGHLIGHT "Campo mágico hostil"
HUMANOID "um humanóide"
IDLE_TASK "Inativo"
ILLUSION "Ilusão"
IMMEDIATE_TRIGGER "Imediato"
IMMIGRANT_ATTR_BONUS "{1} {2}"
IMMIGRANT_AUTO_ACCEPTED "(O imigrante será aceito automaticamente)"
IMMIGRANT_AUTO_REJECTED "(O imigrante será rejeitado automaticamente)"
IMMIGRANT_COMPANION "companheiro de {1}"
IMMIGRANT_TURNS_LEFT "Turnos restantes: {1}"
IMMIGRANT_WONT_JOIN_DURING "O imigrante não se juntará durante o {1}."
IMPORTANT_TITLE "Importante!"
IMPROVES "{1} melhora {2} {3} de {4}"
INCLUDE_SAVE_FILE "Incluir arquivo de save"
INCLUDE_SCREENSHOT "Incluir captura de tela"
INCREASE_DAMAGE_OR_DEFENSE_BY_ONE "Aumenta dano ou defesa em 1"
IN_GAS "em {1}"
INGREDIENT_ON_THE_GROUND "no chão {1}"
INJURED_BODY_PART "{1} ferido"
INSIDE_AN_ANIMAL_PEN "dentro de um cercado de animais"
INSUFFICIENT_LIGHT_HIGHLIGHT "Luz insuficiente"
IN_TERRITORY "em território"
INTRINSIC_ATTACK_INACTIVE "Inativo"
IS_AWARE_OF_DANGER "{1} está ciente do perigo."
IS_BITTEN_IN_THE_NECK "{1} é mordido no pescoço!"
IS_BURNING "{1} está queimando!"
IS_BURNT_BY_THE_SUN "{1} está sendo queimado pelo sol."
IS_CONVERTED "{1} é convertido para o seu lado."
IS_CRITICALLY_WOUNDED "{1} está gravemente ferido!"
IS_CUT_IN_HALF "{1} é cortado ao meio!"
IS_DESTROYED_BY "{1} é destruído por {2}."
IS_FLYING "{1} está voando!"
IS_MOVING_FASTER_AGAIN "{1} está se movendo mais rápido novamente."
IS_MOVING_SLOW_AGAIN "{1} está se movendo mais devagar novamente."
IS_NO_LONGER_BLIND "{1} não está mais cego."
IS_NO_LONGER_FUNNY "{1} não está mais engraçado."
IS_NO_LONGER_HALLU "{1} não está mais alucinando."
IS_NO_LONGER_PLAGUE_RESISTANT "{1} não é mais resistente à praga."
IS_NO_LONGER_POISON_RESISTANT "{1} não é mais resistente a veneno."
LESS_UNDERSTANDING "menos compreensão"
MORE_UNDERSTANDING "mais compreensão"
IS_NO_LONGER_RESTED "{1} não está mais descansado."
IS_NO_LONGER_SATIATED "{1} não está mais saciado."
IS_NO_LONGER_SLEEP_RESISTANT "{1} não é mais resistente ao sono."
IS_NO_LONGER_SWARMER "{1} não é mais um enxameador."
IS_NO_LONGER_VULNERABLE_TO_SUNLIGHT "{1} não está mais vulnerável à luz do sol."
IS_NOT_HURT "{1} não está ferido!"
IS_RIPPED_TO_PIECES "{1} é despedaçado!"
IS_SHOT_IN_THE "{1} é atingido no {2}!"
IS_STABBED_IN_THE "{1} é esfaqueado no {2}!"
IS_TURNED_OFF "{1} é desligado."
IS_TURNED_ON "{1} é ligado."
IS_UNABLE_TO_CAST_SPELLS "{1} não consegue lançar magias!"
IS_UNCONCIOUS "{1} está inconsciente."
IS_WOUNDED "{1} está ferido!"
ITEM_COUNT "{2} {1}"
ITEM_CRASHES_ON_THE "{2} colide com o {1}"
ITEMS_CRASH_ON_THE "{2} colidem com o {1}"
ITEM_CRASHES_ON "{2} colide com {1}"
ITEMS_CRASH_ON "{2} colidem com {1}"
ITEM_CRASHES_ON_YOU "{1} colide com você."
ITEM_HITS_THE "{2} acerta o {1}"
ITEMS_HIT_THE "{2} acertam o {1}"
ITEM_HITS_YOU "{1} acerta você."
ITEM_MAY_HURT_MINION "Este item pode ferir seu lacaio. Continuar?"
ITEM_MISSES_YOU "{1} erra você."
ITEMS_CRASH_ON_YOU "{1} colide com você."
ITEMS_HIT_YOU "{1} acerta você."
ITEMS_MISS_YOU "{1} erra você."
ITEM_USED_UP "{1} foi consumido."
ITSELF "si mesmo"
JOINS_YOUR_FORCES "{1} se junta às suas forças."
KEEPER "guardião"
KEEPER_F "guardião"
KEY_ENTER "[Enter]"
KEY_MODIFIER "{1} + {2}"
KILLED_BY_SUNLIGHT "morto pela luz do sol"
KILLED_BY_TORTURE "morto por tortura"
KILLED_BY "morto por {1}"
IS_KILLED_BY "{1} é {2} por {3}."
YOU_KILLED_BY "Você é {2} por {1}."
KILLED_MEMBERS_TRIGGER "Membros da tribo mortos"
KILL_TASK "Matar {1}"
KILL_TITLES_HINT "Títulos são concedidos por matar líderes de tribos. Eles podem aumentar cada atributo até o valor base do atributo."
KNIGHT_NAME "cavaleiro"
KRAKEN "kraken"
KRAKEN_TENTACLE "tentáculo de kraken"
LEARNS "{1} aprende a {2} de {3}."
LEG_BODY_PART "perna" "pernas" : plural
LEGENDARY_BEAST "besta lendária"
LEGENDARY_HUMANOID "humanoide lendário"
LOCATION_TOO_DANGEROUS_HINT "Local muito perigoso para construir"
LOCK_DOOR_ACTION "Trancar porta"
LOCKED_ITEMS_HINT "Itens bloqueados não serão trocados automaticamente pelos lacaios."
LOCK_POSITION_BUTTON "Bloquear posição"
LOCK_POSITION_TOOLTIP "Ativar impedirá que outros lacaios troquem de posição com este autômato. Você ainda pode empurrá-lo para frente no modo de controle."
LOOKS_LIKE_A_DANCING_FOOL "{1} parece um bobo dançante."
LOST_BODY_PART "Perdeu {1}"
LUXURY_HINT "Luxo total: {1}"
MAKE_HUMANOID_EFFECT_DESCRIPTION "Transforma criatura em um humanoide"
MAKE_HUMANOID_EFFECT_NAME "tornar humanoide"
MAKES_A "{1} faz um(a) {2}"
MATERIALIZATION_EFFECT_DESCRIPTION "Rematerializa completamente um espírito."
MATERIALIZATION_EFFECT_NAME "materialização"
MESSAGE_EFFECT_DESCRIPTION "Exibe uma mensagem"
MESSAGE_EFFECT_NAME "efeito de mensagem"
MESSAGES_LOG "Registro de mensagens"
MINION_ACTIVITY_EFFECT_DESCRIPTION "Define a atividade de um lacaio."
MINION_ACTIVITY_EFFECT_NAME "atividade do lacaio"
MINION_LEISURE_ZONE_HIGHLIGHT "Área de lazer dos lacaios"
MINIONS_DISCOVER_LOCATION "Seus lacaios descobrem a localização de {1}."
